date,India
31-12-2019,0
01-01-2020,0
02-01-2020,0
03-01-2020,0
04-01-2020,0
05-01-2020,0
06-01-2020,0
07-01-2020,0
08-01-2020,0
09-01-2020,0
10-01-2020,0
11-01-2020,0
12-01-2020,0
13-01-2020,0
14-01-2020,0
15-01-2020,0
16-01-2020,0
17-01-2020,0
18-01-2020,0
19-01-2020,0
20-01-2020,0
21-01-2020,0
22-01-2020,0
23-01-2020,0
24-01-2020,0
25-01-2020,0
26-01-2020,0
27-01-2020,0
28-01-2020,0
29-01-2020,0
30-01-2020,0
31-01-2020,0
01-02-2020,0
02-02-2020,0
03-02-2020,0
04-02-2020,0
05-02-2020,0
06-02-2020,0
07-02-2020,0
08-02-2020,0
09-02-2020,0
10-02-2020,0
11-02-2020,0
12-02-2020,0
13-02-2020,0
14-02-2020,0
15-02-2020,0
16-02-2020,0
17-02-2020,0
18-02-2020,0
19-02-2020,0
20-02-2020,0
21-02-2020,0
22-02-2020,0
23-02-2020,0
24-02-2020,0
25-02-2020,0
26-02-2020,0
27-02-2020,0
28-02-2020,0
29-02-2020,0
01-03-2020,0
02-03-2020,0
03-03-2020,0
04-03-2020,0
05-03-2020,0
06-03-2020,0
07-03-2020,0
08-03-2020,0
09-03-2020,0
10-03-2020,0
11-03-2020,0
12-03-2020,0
13-03-2020,1
14-03-2020,2
15-03-2020,2
16-03-2020,2
17-03-2020,3
18-03-2020,3
19-03-2020,3
20-03-2020,4
21-03-2020,4
22-03-2020,4
23-03-2020,7
24-03-2020,9
25-03-2020,9
26-03-2020,13
27-03-2020,17
28-03-2020,19
29-03-2020,25
30-03-2020,29
31-03-2020,32
01-04-2020,35
02-04-2020,50
03-04-2020,56
04-04-2020,68
05-04-2020,77
06-04-2020,109
07-04-2020,114
08-04-2020,149
09-04-2020,166
10-04-2020,199
11-04-2020,239
12-04-2020,273
13-04-2020,308
14-04-2020,339
15-04-2020,377
16-04-2020,414
17-04-2020,437
18-04-2020,480
19-04-2020,507
20-04-2020,543
21-04-2020,590
22-04-2020,640
23-04-2020,681
24-04-2020,718
25-04-2020,775
26-04-2020,824
27-04-2020,872
28-04-2020,934
29-04-2020,1007
30-04-2020,1074
01-05-2020,1147
02-05-2020,1218
03-05-2020,1301
04-05-2020,1373
05-05-2020,1568
06-05-2020,1694
07-05-2020,1783
08-05-2020,1886
09-05-2020,1981
10-05-2020,2109
11-05-2020,2206
12-05-2020,2293
13-05-2020,2415
14-05-2020,2537
15-05-2020,2659
16-05-2020,2781
17-05-2020,2903
18-05-2020,3025
19-05-2020,3147
20-05-2020,3269
21-05-2020,3391
22-05-2020,3513
23-05-2020,3635
24-05-2020,3757
25-05-2020,3879
26-05-2020,4001
27-05-2020,4123
28-05-2020,4245
29-05-2020,4367
30-05-2020,4489
31-05-2020,4611
01-06-2020,4733
02-06-2020,4855
03-06-2020,4977
04-06-2020,5099
05-06-2020,5221
06-06-2020,5343
07-06-2020,5465
08-06-2020,5587
09-06-2020,5709
10-06-2020,5831
11-06-2020,5953
12-06-2020,6075
13-06-2020,6197
14-06-2020,6319
15-06-2020,6441
16-06-2020,6563
17-06-2020,6685
18-06-2020,6807
19-06-2020,6929
20-06-2020,7051
21-06-2020,7173
22-06-2020,7295
23-06-2020,7417
24-06-2020,7539
25-06-2020,7661
26-06-2020,7783
27-06-2020,7905
28-06-2020,8027
29-06-2020,8149
30-06-2020,8271
01-07-2020,8393
02-07-2020,8515
03-07-2020,8637
04-07-2020,8759
05-07-2020,8881
06-07-2020,9003
07-07-2020,9125
08-07-2020,9247
09-07-2020,9369
10-07-2020,9491
11-07-2020,9613
12-07-2020,9735
13-07-2020,9857
14-07-2020,9979
15-07-2020,10101
16-07-2020,10223
17-07-2020,10345
18-07-2020,10467
19-07-2020,10589
20-07-2020,10711
21-07-2020,10833
22-07-2020,10955
23-07-2020,11077
24-07-2020,11199
25-07-2020,11321
26-07-2020,11443
27-07-2020,11565
28-07-2020,11687
29-07-2020,11809
30-07-2020,11931
31-07-2020,12053
